spectrum_id,spectrum,category,wavenumbers,snr,resolution,artifacts
RS_0010,[0.00083353 0.         0.00179153 ... 0.48226306 0.48100785 0.48016053],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],149.3346951077814,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0011,"[2.46266598e-01 2.46828815e-01 2.48128583e-01 ... 1.27032993e-03
 0.00000000e+00 4.95757667e-05]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],48.43006875248464,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0012,[0.08465178 0.08873082 0.0885142  ... 0.005804   0.00348648 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],105.65944796528034,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0013,[0.65693985 0.65632238 0.65469019 ... 0.00091312 0.         0.00066782],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],77.8488403113412,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0014,[0.3671897  0.36709689 0.3673215  ... 0.00152941 0.00120006 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],142.66008656058668,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0015,[0.00071257 0.         0.00188442 ... 0.47707186 0.47508883 0.47715402],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],101.15485614085856,2,"{'cosmic_spike': True, 'fluorescence': True}"
RS_0016,"[0.00000000e+00 1.91759944e-04 2.49837033e-05 ... 5.27832697e-01
 5.18715405e-01 5.07985189e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],48.18695247005601,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0017,"[3.89237251e-04 1.70098756e-04 0.00000000e+00 ... 2.85289448e-01
 2.85279565e-01 2.85709762e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],110.2245978328117,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0018,[0.18727124 0.18966739 0.18923296 ... 0.00146342 0.00105707 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],80.39277042815482,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0019,[0.         0.00095735 0.00182692 ... 0.94011978 0.94009577 0.93883595],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],79.46945860866528,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0020,[0.49346865 0.49257831 0.49237296 ... 0.10987463 0.10994612 0.11014272],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],135.28273144565392,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0021,[0.06596113 0.06668061 0.06641346 ... 0.69949713 0.70113194 0.70281876],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],85.08737010766475,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0022,[0.07022861 0.07041536 0.06881515 ... 0.47136231 0.47333998 0.47148304],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],141.63978564952225,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0023,"[7.07959566e-01 7.06643882e-01 7.04824876e-01 ... 7.74027855e-04
 8.90307957e-04 2.30289302e-04]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],112.38703529227651,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0024,[0.94473933 0.94322105 0.94038405 ... 0.52486394 0.52505402 0.52660165],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],111.71549240046188,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0025,[0.82627725 0.82471266 0.82408902 ... 0.4612451  0.45832739 0.45550353],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],131.7125933945877,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0026,[0.         0.0020381  0.00130559 ... 0.7814755  0.78160892 0.78053913],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],107.7328138258973,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0027,[0.84751508 0.84627741 0.84266358 ... 0.5371084  0.52055337 0.50207042],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],113.623114967357,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0028,[0.00096371 0.         0.00214615 ... 0.74722574 0.74907132 0.74886584],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],113.14913568673217,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0029,[0.00040096 0.00063648 0.         ... 0.36312766 0.36249021 0.36364901],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],137.99749710669306,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0030,[0.0513765  0.05161385 0.05037331 ... 0.63069474 0.629499   0.62785884],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],138.95665816380665,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0031,[0.28387292 0.28217438 0.28346642 ... 0.0028147  0.         0.00505545],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],40.76869082275364,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0032,[0.62676279 0.62418904 0.62224896 ... 0.85710306 0.85950231 0.86234206],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],103.73564315159079,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0033,"[0.00000000e+00 1.95538458e-04 3.40398543e-04 ... 9.69493995e-01
 9.70264332e-01 9.71154160e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],89.34230509613339,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0034,[0.01107526 0.01046183 0.01047517 ... 0.86355088 0.86551952 0.86720342],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],73.18971237342699,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0035,[0.         0.00187886 0.00268638 ... 0.19491052 0.19375847 0.19341366],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],76.63096680560517,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0036,[0.00487735 0.01401027 0.02065677 ... 0.41281337 0.41887086 0.4284763 ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],27.674916898954365,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0037,[0.44423293 0.47930992 0.46867219 ... 0.42908922 0.391807   0.43354275],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],22.62180911830866,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0038,[0.37842073 0.37798224 0.37644795 ... 0.00162068 0.00236157 0.0023351 ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],122.63152794405154,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0039,[0.22114608 0.22063078 0.22366294 ... 0.0028901  0.00229319 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],112.05841038488046,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0040,"[4.77659312e-04 0.00000000e+00 1.23524109e-03 ... 8.92484855e-01
 8.93121306e-01 8.94190902e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],120.39771704694307,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0041,"[4.57244444e-01 4.56527196e-01 4.57592245e-01 ... 1.15117342e-03
 0.00000000e+00 4.81534997e-05]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],60.11226912400213,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0042,[0.0916839  0.08966334 0.09235573 ... 0.22169043 0.22052262 0.22226322],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],38.77949191867114,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0043,[0.29836564 0.29574527 0.29668021 ... 0.02657742 0.02806309 0.02785254],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],105.66133723869987,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0044,[1.         0.99821076 0.99636391 ... 0.16301586 0.16469032 0.16472438],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],51.717472497529286,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0045,[0.31977897 0.319636   0.31948948 ... 0.00281991 0.00155122 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],94.30170312944365,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0046,[0.24511527 0.36136309 0.22058356 ... 0.62539541 0.6185124  0.74693838],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],15.161054385077342,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0047,[0.05987398 0.06102992 0.06113925 ... 0.00269718 0.00027674 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],62.40587546322704,2,"{'cosmic_spike': True, 'fluorescence': False}"
RS_0048,[0.         0.00224351 0.00397656 ... 0.11235092 0.11168858 0.1104758 ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],86.16640098482284,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0049,[0.40290816 0.39974139 0.39959403 ... 0.74171646 0.74216929 0.74455492],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],72.06807196117089,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0050,[0.40619296 0.40576236 0.40678721 ... 0.00145542 0.00065243 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],60.10795377423487,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0051,[0.1465251  0.12049771 0.16030016 ... 0.60782093 0.55947573 0.47987509],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],20.99218182039273,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0052,[0.14931089 0.14692957 0.14696382 ... 0.67896733 0.67976344 0.68221918],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],86.62171776709486,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0053,[0.         0.0010539  0.00234904 ... 0.76528124 0.76478117 0.76440681],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],59.27532104068314,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0054,[0.53051972 0.52787523 0.52890246 ... 0.00852943 0.00422696 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],82.2453882334875,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0055,"[4.52355072e-04 0.00000000e+00 8.21656996e-04 ... 8.66047457e-01
 8.66570392e-01 8.67993102e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],108.20805778739756,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0056,[0.07595996 0.07621465 0.07564126 ... 0.43093189 0.43186731 0.43136333],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],79.30867487396225,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0057,[0.70676014 0.70531893 0.70410119 ... 0.31631126 0.31674397 0.31670468],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],138.20864198583922,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0058,[0.91913999 0.91958108 0.91790527 ... 0.00252724 0.00335236 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],45.49137475615738,2,"{'cosmic_spike': True, 'fluorescence': False}"
RS_0059,[0.79381199 0.79082704 0.80869304 ... 0.06412176 0.06811966 0.06837528],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],32.54196609103833,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0060,[0.29104748 0.2921111  0.29516733 ... 0.00302194 0.00086001 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],69.68118502929823,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0061,[0.08877125 0.2317245  0.08623522 ... 0.36723272 0.46091835 0.34601481],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],11.52828741217322,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0062,[0.         0.00144888 0.00140422 ... 0.35786138 0.35639437 0.35619869],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],52.27118213733036,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0063,[0.50001205 0.43313764 0.49375295 ... 0.02344955 0.04972676 0.04430557],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],16.01364803866879,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0064,[0.00834438 0.00684176 0.00468181 ... 0.62662362 0.62151589 0.62513573],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],35.18748113186751,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0065,[0.42842833 0.4288496  0.42791476 ... 0.00259221 0.00103271 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],129.52788950586864,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0066,[0.         0.00164931 0.00348449 ... 0.29225598 0.29310499 0.29171129],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],85.88867411669001,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0067,"[0.00000000e+00 8.84420873e-05 2.89972426e-04 ... 1.34732052e-01
 1.34985326e-01 1.34562823e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],43.2734869076643,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0068,[0.00216932 0.00247811 0.00238431 ... 0.00010579 0.00023126 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],135.64653615120775,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0069,[0.07390627 0.131753   0.10059681 ... 0.67936517 0.68015936 0.67367867],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],17.29308895658709,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0070,"[0.00000000e+00 1.33633462e-03 3.75432738e-04 ... 7.20939985e-01
 7.21875747e-01 7.22931137e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],132.8603122134909,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0071,"[0.00000000e+00 2.36456739e-04 7.63958228e-04 ... 6.15073443e-01
 6.15092099e-01 6.13494612e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],106.64388989148406,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0072,"[1.55544474e-01 1.54836275e-01 1.55208590e-01 ... 3.31723746e-05
 0.00000000e+00 8.83649851e-04]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],121.6529766864569,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0073,[0.10013515 0.09907642 0.10038187 ... 0.2232959  0.22379087 0.22287806],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],55.998799383050496,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0074,[1.         0.99866909 0.99753662 ... 0.15941319 0.16155903 0.16174544],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],79.93602443165308,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0075,[0.24397196 0.2429799  0.24271111 ... 0.6609202  0.66329207 0.66134517],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],115.1467058196816,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0076,[0.00172681 0.00111176 0.         ... 0.61311818 0.61393251 0.61458301],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],109.00942011163504,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0077,[0.8495017  0.84649436 0.84635847 ... 0.5103641  0.51120658 0.51068725],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],100.25686520757132,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0078,[0.59068056 0.62006511 0.58265074 ... 0.49680441 0.42741628 0.46011667],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],26.845940643981002,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0079,[0.89511822 0.8925554  0.89321117 ... 0.54930385 0.54741146 0.55122078],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],110.2878233603961,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0080,[0.85966677 0.86945431 0.87329774 ... 0.07490174 0.07523164 0.0626653 ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],32.44052426940547,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0081,[0.00243392 0.00502679 0.00744681 ... 0.55429373 0.55178362 0.56100257],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],40.09030681294939,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0082,[0.9994983  1.         0.99613427 ... 0.59975078 0.6005364  0.60160593],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],68.50555216667274,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0083,[0.00196039 0.         0.00159243 ... 0.51322832 0.51200663 0.51229576],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],132.2403955622176,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0084,"[0.00000000e+00 1.81091043e-04 1.46180512e-03 ... 6.31528458e-01
 6.30514439e-01 6.30002187e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],107.80439669031036,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0085,[0.21478613 0.21281196 0.21331308 ... 0.19867104 0.19665627 0.1957515 ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],82.96526420346491,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0086,[0.7338798  0.73309579 0.73304604 ... 0.00253021 0.00104013 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],140.48855865520636,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0087,"[5.94467136e-01 5.95487780e-01 5.94697392e-01 ... 2.57459430e-04
 0.00000000e+00 4.72465168e-04]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],116.18801097486333,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0088,[0.64874989 0.65651783 0.66140155 ... 0.04239257 0.04234538 0.02954182],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],28.077486959482737,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0089,"[5.97133660e-01 6.03497653e-01 6.00521830e-01 ... 1.95074171e-03
 1.65754775e-04 0.00000000e+00]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],44.49868086826977,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0090,[0.86269338 0.83499309 0.85727897 ... 0.32147885 0.30319229 0.37817903],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],14.706793146639995,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0091,"[2.34189291e-01 2.05118532e-01 2.41386580e-01 ... 1.10453653e-04
 3.12194901e-02 8.25028460e-03]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],30.040433699925696,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0092,[0.99847223 1.         0.99501101 ... 0.         0.00399532 0.00347747],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],42.09636550134339,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0093,[0.16894501 0.16909113 0.17138917 ... 0.34535899 0.34526602 0.34599784],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],141.90266631910788,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0094,"[0.00000000e+00 1.43877885e-04 2.25703165e-03 ... 1.88231474e-01
 1.84531909e-01 1.81566390e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],139.41381297404874,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0095,[0.3829419  0.38421975 0.39790117 ... 1.         0.9958307  0.99673434],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],37.006370559155606,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0096,[0.21615575 0.22573193 0.20914029 ... 0.53451361 0.50179035 0.49947147],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],30.009985234385496,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0097,"[9.45830295e-04 5.29527530e-04 0.00000000e+00 ... 7.56104414e-01
 7.55618823e-01 7.55368295e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],132.60123423072577,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0098,[0.60118706 0.60100026 0.60036939 ... 0.00330702 0.00083827 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],114.05103586704521,2,"{'cosmic_spike': True, 'fluorescence': False}"
RS_0099,[0.86804856 0.86531716 0.86461056 ... 0.00394831 0.00251654 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],54.8394798424753,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0100,"[1.10422231e-04 2.53116271e-03 0.00000000e+00 ... 9.43787564e-01
 9.44087391e-01 9.46260334e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],100.44217814480858,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0101,[0.4305461  0.44195329 0.40870816 ... 0.03512739 0.04030996 0.02848838],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],33.43028621610085,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0102,[0.81765919 0.81515849 0.81340877 ... 0.34206429 0.34272207 0.34167353],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],108.22557233857673,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0103,[0.4125268  0.40844032 0.41037962 ... 0.24569334 0.24236377 0.24079219],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],43.57818617889602,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0104,[0.01283189 0.0123849  0.01208308 ... 0.99876891 1.         0.99444475],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],120.42189376733464,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0105,[0.77695605 0.7488521  0.74484532 ... 0.78571373 0.74972388 0.7904134 ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],26.496210835163915,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0106,[0.24591286 0.22588298 0.2705975  ... 0.07584975 0.09150898 0.14372704],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],14.19590712794805,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0107,[0.01966019 0.01809036 0.01922543 ... 0.4046381  0.4069581  0.40671757],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],77.91010964202303,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0108,"[5.50316256e-04 7.50288589e-04 0.00000000e+00 ... 7.53708593e-01
 7.51755563e-01 7.49123380e-01]",pharmaceutical,[ 100  102  104 ... 3194 3196 3198],78.3772820086196,2,"{'cosmic_spike': True, 'fluorescence': False}"
RS_0109,[0.49453429 0.49697702 0.49163743 ... 0.23301671 0.23219094 0.23318991],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],81.5518464999655,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0110,[0.10728049 0.10647812 0.10875716 ... 0.00593577 0.00233567 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],71.29123913052534,2,"{'cosmic_spike': True, 'fluorescence': False}"
RS_0111,[0.2281475  0.24325396 0.23124059 ... 0.00458667 0.00033919 0.01035004],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],32.467317334523685,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0112,[0.49259538 0.49234865 0.49189244 ... 0.98400487 0.97850716 0.96922399],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],43.471174206926236,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0113,[0.43790842 0.43767143 0.43941278 ... 0.5105759  0.49910297 0.4960235 ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],34.51793067343948,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0114,[1.         0.99851983 0.99810984 ... 0.02498362 0.02351518 0.02309943],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],139.217606715219,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0115,[0.45609582 0.45655966 0.45742475 ... 0.00181037 0.         0.00137228],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],122.96551333040405,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0116,[0.97880796 0.97676381 0.97763724 ... 0.00193628 0.00117712 0.        ],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],68.89524593401474,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0117,[0.00014614 0.00014509 0.         ... 0.13968686 0.14000144 0.14012489],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],123.29921193075015,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0118,[0.90613087 0.89517835 0.88666049 ... 0.03135648 0.04881621 0.08233128],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],19.252958828146383,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0119,[0.12068103 0.15754348 0.11668044 ... 0.95033481 0.95627499 0.95279604],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],23.076023257507742,2,"{'cosmic_spike': False, 'fluorescence': True}"
RS_0120,[1.         0.99452114 0.99211698 ... 0.01156018 0.01097713 0.01324329],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],46.21752153865903,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0121,[0.         0.00148546 0.00093116 ... 0.67309745 0.65320781 0.63941479],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],136.61748866106575,2,"{'cosmic_spike': False, 'fluorescence': False}"
RS_0122,[0.62693037 0.62488133 0.62374651 ... 0.96171646 0.96450132 0.96695314],pharmaceutical,[ 100  102  104 ... 3194 3196 3198],96.21030723931077,2,"{'cosmic_spike': False, 'fluorescence': False}"
